INFO 2025-03-16 14:13:53,583 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:32:27,166 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-16 14:32:27,167 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-16 14:32:27,170 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-03-16 14:32:27,175 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-03-16 14:32:27,175 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-03-16 14:32:27,179 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-03-16 14:32:27,179 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-16 14:32:27,204 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-03-16 14:32:27,204 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-03-16 14:32:27,205 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-16 14:32:29,085 basehttp "GET /admin/matching/ride/?o=2 HTTP/1.1" 200 13831
INFO 2025-03-16 14:32:29,143 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-16 14:32:29,188 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-16 14:32:29,189 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-16 14:32:29,189 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-16 14:32:29,193 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-16 14:32:29,199 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-03-16 14:32:29,200 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-16 14:32:29,203 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-03-16 14:32:29,206 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-16 14:32:29,206 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-16 14:32:29,206 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
